1.426096201687998111e+00,1.412037747825563683e+00,1.501508726508120173e+00,1.618815413142934201e+00,1.677115014272615223e+00,1.696839413695113485e+00,1.692184836798779290e+00,1.404417868759619825e+00,7.300984152722476139e-01,2.120762348145764642e-01,5.538958326039453844e-02,5.499429533027787309e-02,6.885286072267088331e-02,5.294150228204378555e-02,3.389836226549584886e-02,4.800500636383255720e-02,8.321045458284763441e-02,9.340801533226855691e-02,6.000000000000000000e+00
1.469881910543095582e+00,1.500081504609967586e+00,1.599532233466267606e+00,1.686657343443220824e+00,1.728279099312498346e+00,1.753046770380232378e+00,1.817126751192956302e+00,1.897968648952651272e+00,1.937382315045852454e+00,2.013431878793928931e+00,2.070964792346307259e+00,2.027113924716092974e+00,1.818692215449966953e+00,1.403461365396398319e+00,9.104107698270267335e-01,6.475728066037695907e-01,9.920495195488689966e-01,1.723044504717611725e+00,1.600000000000000000e+01
1.603478439447749704e+00,1.678174964982729334e+00,1.739612840033292418e+00,1.757346823242125655e+00,1.753659659996413600e+00,1.755101195598267827e+00,1.784329520683324066e+00,1.841961505575658631e+00,1.904370962095750963e+00,1.956382205136065089e+00,1.971456680465061950e+00,1.864665914659832779e+00,1.511307389689835468e+00,1.054430572443398217e+00,6.735865085537107166e-01,4.824540515969243382e-01,7.922084596144371993e-01,1.439489074215536402e+00,1.600000000000000000e+01
1.637268370493595970e+00,1.652281572903482765e+00,1.649299311783940958e+00,1.700534055334183670e+00,1.804862790020186125e+00,1.893234507395220589e+00,1.952065059799029889e+00,1.939967640840672525e+00,1.911069861812570991e+00,1.947893362958705854e+00,1.970676534273599900e+00,1.805197884984680812e+00,1.358867893599509769e+00,8.239810077308594716e-01,4.204164411974709026e-01,3.041855862773940045e-01,6.477177955064330472e-01,1.238700670662465031e+00,1.600000000000000000e+01
1.485747363401247023e+00,1.555495364219205090e+00,1.600822794344036737e+00,1.654625739844624022e+00,1.708605881905091772e+00,1.745586890416475079e+00,1.804316783797814683e+00,1.906007420043300371e+00,1.984366804125374362e+00,2.011647557421097243e+00,2.045603057773271338e+00,2.058868830235081937e+00,1.941316248962821511e+00,1.623706518497342932e+00,1.201163254388543766e+00,9.426562157015256904e-01,1.270049511938888598e+00,2.014789516076429088e+00,1.600000000000000000e+01
1.595199533364817901e+00,1.827019919169364126e+00,2.015979633312829034e+00,2.125394819430354243e+00,2.103223984983027428e+00,2.104358054009786372e+00,2.122773467812381298e+00,2.156593467002420272e+00,2.137060234455331109e+00,2.063032669771614813e+00,1.846343615681035111e+00,1.659742462361419868e+00,1.589684631237191503e+00,1.589510236686515032e+00,1.656895410339484620e+00,1.776192519529840919e+00,1.927630718500497942e+00,2.048335716098032222e+00,1.600000000000000000e+01
1.504135833022014035e+00,1.526669791305692803e+00,1.632803405240883077e+00,1.762493399701620778e+00,1.841178134472500227e+00,1.886714657927356598e+00,1.924394744657136336e+00,1.975645486581476984e+00,1.968207421980136207e+00,1.955581266771882820e+00,1.998219166844503736e+00,1.952839055313583705e+00,1.604521805250354483e+00,1.036294219596932020e+00,5.263939112082247629e-01,3.267734827013023535e-01,6.668079414787164705e-01,1.278207167872284167e+00,1.600000000000000000e+01
1.511624191222934233e+00,1.576786713485508695e+00,1.650563914842130941e+00,1.698571960183921981e+00,1.706272252395442557e+00,1.745834778119305319e+00,1.838831885277856237e+00,1.897897368028348186e+00,1.925515884114125331e+00,2.007597661532081634e+00,2.083648036110226087e+00,2.070830490897951126e+00,1.871629604098937971e+00,1.469940988267461002e+00,9.985882868914075505e-01,6.923509712701090280e-01,9.662617366254444562e-01,1.654479255583950037e+00,1.600000000000000000e+01
1.610887236657432720e+00,1.649814927586738200e+00,1.637044360285812239e+00,1.601438152278920501e+00,1.572712439662047990e+00,1.585450468728045070e+00,1.704260782136967745e+00,1.848940583882898281e+00,1.920246197983527914e+00,1.930165639073552430e+00,1.922174494795779509e+00,1.809565133521849223e+00,1.479744077358752463e+00,9.865653917967249775e-01,5.580698497478655540e-01,4.094827358958688657e-01,7.947025184901801431e-01,1.512786310114750510e+00,1.600000000000000000e+01
1.506979509554483787e+00,1.501101635921699762e+00,1.564148097920784686e+00,1.669652994043381078e+00,1.780331081530967197e+00,1.811667292162649101e+00,1.739519578633154318e+00,1.734067813714196493e+00,1.814540735746914990e+00,1.877092139871903376e+00,1.915871534437843415e+00,1.885741417019148436e+00,1.469176444929275238e+00,7.232573540044879845e-01,2.188419144474775813e-01,8.098877336152901507e-02,7.483996978913272369e-02,7.222010571762743636e-02,1.000000000000000000e+01
