4.956637000000000000e+06,1.608081873840000009e+00,1.749418636742857247e+00,1.876791524431428826e+00,1.721130270719999800e+00,1.804333294199999438e+00,1.845363880941714108e+00,1.756654436331428704e+00,1.877189258315143050e+00,1.586018039222857112e+00,1.228918193382857238e+00,5.676920180485713896e-01,4.026737297400000415e-01,5.007754963485714500e-02,9.478009893657142471e-02,7.205227400057143128e-02,6.844259109000000452e-02,6.928672977571427583e-02,1.008756806399999928e-01,1.000000000000000000e+00
4.956658000000000000e+06,1.578995121599999774e+00,1.661932032313714336e+00,1.638849048053714341e+00,1.860891525120000445e+00,2.008503414900000283e+00,1.876207842399142844e+00,1.978801353949714237e+00,1.983004849890285914e+00,1.913517738565714277e+00,1.250373044293714209e+00,7.433301703142857209e-01,4.736551139399999277e-01,2.174621875188571460e-02,4.145229547314285834e-02,1.727872752548571533e-01,1.912415874771428159e-02,6.125384866714285448e-02,6.164624928000000254e-02,1.000000000000000000e+00
4.956798000000000000e+06,1.575878683859999851e+00,1.619103660713714365e+00,1.665584466600000146e+00,1.869412213247999999e+00,1.887960738000000083e+00,2.005713438294000284e+00,1.983763887555428207e+00,1.755050285680000322e+00,1.672332061040000095e+00,1.065192073597714506e+00,5.903557226614285502e-01,2.006948751740000036e-01,3.565640807125713962e-02,1.424890916628571425e-01,9.299003144228572271e-02,-1.638544441428572106e-03,1.630133588385714316e-01,1.036777828799999857e-01,1.000000000000000000e+00
4.956998000000000000e+06,1.576917496439999899e+00,1.376277471771428562e+00,1.779209295120000478e+00,1.635504230400000036e+00,1.732990880849999638e+00,1.797041082828571446e+00,1.879685461433142857e+00,1.840902842394285699e+00,1.729300468161143023e+00,1.389785623200000320e+00,9.949397975705714936e-01,4.878651599959999974e-01,8.011777915514287085e-02,7.579163418342856062e-02,4.877226926914286081e-02,5.763964092342856171e-02,1.896640658714285332e-01,1.457093164799999896e-01,1.000000000000000000e+00
4.957208000000000000e+06,1.572762246120000151e+00,1.640771794171999920e+00,1.707022369486857372e+00,1.815706536960000061e+00,1.890588365099999724e+00,1.827488641914285727e+00,1.955525903154285761e+00,1.822067649734286032e+00,1.801129347731428521e+00,1.272530159214857237e+00,8.312665369974285845e-01,4.011763812859999723e-01,1.068461642899999897e-01,4.357468468171428466e-02,2.464416685371428190e-02,7.352920349285713142e-02,1.207163383028571346e-01,1.373030097599999833e-01,1.000000000000000000e+00
4.957214000000000000e+06,1.550947181939999808e+00,1.697316697732000002e+00,1.743116620142857176e+00,1.897745448959999859e+00,1.572341372999999765e+00,1.900426353807713964e+00,1.883132577599999857e+00,1.964036405140000108e+00,1.606403825388571516e+00,1.306233481028571397e+00,7.911163912542855670e-01,3.702511524379999974e-01,1.145391811279999894e-01,1.311007717102857240e-01,7.290031281342856939e-02,5.882974034428571641e-02,7.861227669657143424e-02,1.232924985600000051e-01,1.000000000000000000e+00
4.957645000000000000e+06,1.601848998360000165e+00,1.586616142817142805e+00,1.772521851437142804e+00,1.626387409919999971e+00,1.698547587149999982e+00,1.863788362782856867e+00,1.809852322676114289e+00,1.772169881922857293e+00,1.676728303600000025e+00,1.330291157485714360e+00,7.850828335134284464e-01,3.255574068079999939e-01,2.651938589145714370e-02,9.327408419314284216e-02,6.593032272599999577e-02,1.432528925314285606e-01,4.076484950757142123e-02,1.485114187199999825e-01,1.000000000000000000e+00
4.957841000000000000e+06,1.523938054859999891e+00,1.551680040760000212e+00,1.597410970091428517e+00,1.740657046271999686e+00,1.824549092400000294e+00,1.801443184245714368e+00,1.971287628331428898e+00,1.745832082579714228e+00,1.531899736822857072e+00,1.162347580765714206e+00,5.453073624077142689e-01,2.727295506119999380e-01,3.623319748542856711e-02,1.060484763668571341e-02,1.086176942178857380e-01,6.355907632228570414e-02,1.077443859792857200e-01,6.725045375999999520e-02,1.000000000000000000e+00
4.957879000000000000e+06,1.548869556779999934e+00,1.599362653279428503e+00,1.703010713001000154e+00,1.844017634304000008e+00,1.867431294900000038e+00,1.789054161459999737e+00,1.797629538190628207e+00,1.781371258794856915e+00,1.708712359439999995e+00,1.192067932825714438e+00,7.163271861771428606e-01,3.833762810879999816e-01,7.599149598142856954e-02,1.061687041948571331e-01,3.390110067925714010e-02,9.205568254999998978e-02,1.160704742600000006e-01,8.966727167999999359e-02,1.000000000000000000e+00
4.958153000000000000e+06,1.523938054859999891e+00,1.913533064399999928e+00,1.780545996017142585e+00,1.929897887232000064e+00,1.830158615549999812e+00,1.839155786822285643e+00,1.868207774959999901e+00,1.767608034434571707e+00,1.793628706040000020e+00,1.172887910777142828e+00,7.169395872394285218e-01,2.737116829719999922e-01,6.662547759742856734e-02,3.365929542194285445e-02,1.160207757548571694e-01,7.631017972428569274e-02,5.186519662628570615e-02,1.905429523199999864e-01,1.000000000000000000e+00
